Pokemon,Location,Available in HeartGold,Available in Soulsilver,Appears in Morning,Appears in Daytime,Appears in Nighttime,Rarity,Levels
Shellder,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,20
Chinchou,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Route 47,Yes,Yes,Yes,Yes,Yes,Common,10
Tentacool,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,10
Exeggcute,Route 47,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 47,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 47,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,Route 47,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,Route 47,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Heracross,Route 47,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Metapod,Route 47,Yes,No,Yes,Yes,Yes,Limited,25-28
Butterfree,Route 47,Yes,No,Yes,Yes,Yes,Limited,25-28
Kakuna,Route 47,No,Yes,Yes,Yes,Yes,Limited,25-28
Beedrill,Route 47,No,Yes,Yes,Yes,Yes,Limited,25-28
Vulpix,Route 48,No,Yes,No,No,Yes,Common,21-25
Growlithe,Route 48,Yes,No,No,No,Yes,Common,21-25
Vulpix,Route 48,No,Yes,Yes,Yes,No,Rare,21
Diglett,Route 48,Yes,Yes,Yes,Yes,Yes,Rare,20
Growlithe,Route 48,Yes,No,Yes,Yes,No,Rare,21
Girafarig,Route 48,Yes,Yes,Yes,Yes,Yes,Rare,20
Fearow,Route 48,Yes,Yes,Yes,Yes,Yes,Uncommon,21
Gloom,Route 48,Yes,Yes,Yes,Yes,Yes,Uncommon,22-24
Farfetch'd,Route 48,Yes,Yes,Yes,Yes,No,Uncommon,25
Tauros,Route 48,Yes,Yes,Yes,Yes,Yes,Uncommon,20
Hoppip,Route 48,Yes,Yes,Yes,Yes,Yes,Uncommon,20
Plusle,Route 48,Yes,Yes,Yes,Yes,Yes,Uncommon,20-21
Minun,Route 48,Yes,Yes,Yes,Yes,Yes,Uncommon,22-24
Shinx,Route 48,Yes,Yes,Yes,Yes,Yes,Common,20-24
Exeggcute,Route 48,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 48,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 48,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,Route 48,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,Route 48,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Spearow,Azalea Town,Yes,Yes,Yes,Yes,Yes,Limited,2-8
Aipom,Azalea Town,Yes,Yes,Yes,Yes,Yes,Limited,3-8
Heracross,Azalea Town,Yes,Yes,Yes,Yes,Yes,Limited,2-5
Rattata,Bell Tower,Yes,Yes,Yes,Yes,No,Common,20-24
Gastly,Bell Tower,Yes,Yes,No,No,Yes,Common,20-22
Rattata,Bell Tower,Yes,Yes,No,No,Yes,Uncommon,22-24
Zigzagoon,Bell Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,20-21
Spinda,Bell Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Meditite,Bell Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Chatot,Bell Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,20-21
Ho-oh,Bell Tower,Yes,No,Yes,Yes,Yes,Limited,45
Ho-oh,Bell Tower,No,Yes,Yes,Yes,Yes,Limited,70
Magikarp,Blackthorn City,Yes,Yes,Yes,Yes,Yes,Common,2-20
Poliwag,Blackthorn City,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Blackthorn City,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Blackthorn City,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Blackthorn City,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Blackthorn City,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Blackthorn City,Yes,Yes,Yes,Yes,Yes,Rare,10
Dodrio,Blackthorn City,Yes,Yes,Yes,Yes,Yes,Limited,—
Rattata,Burned Tower,Yes,Yes,Yes,Yes,Yes,Common,13-15
Koffing,Burned Tower,Yes,Yes,Yes,Yes,Yes,Common,14-16
Raticate,Burned Tower,Yes,Yes,Yes,Yes,Yes,Rare,15
Zubat,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Zigzagoon,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,13-14
Spinda,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Meditite,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Chatot,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,13-14
Rattata,Burned Tower,Yes,Yes,No,Yes,No,Common,14
Rattata,Burned Tower,Yes,Yes,Yes,No,Yes,Common,14-16
Koffing,Burned Tower,Yes,Yes,Yes,Yes,Yes,Common,14-16
Zubat,Burned Tower,Yes,Yes,Yes,Yes,Yes,Rare,15
Magmar,Burned Tower,Yes,Yes,Yes,No,Yes,Rare,14
Magmar,Burned Tower,Yes,Yes,No,Yes,No,Uncommon,16
Zigzagoon,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Spinda,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Meditite,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Chatot,Burned Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Tentacool,Cherrygrove City,Yes,Yes,Yes,Yes,Yes,Common,10-25
Tentacruel,Cherrygrove City,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Exeggcute,Cherrygrove City,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Cherrygrove City,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Cherrygrove City,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,Cherrygrove City,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,Cherrygrove City,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Taillow,Cherrygrove City,Yes,Yes,Yes,Yes,Yes,Limited,18-25
Tentacool,Cianwood City,Yes,Yes,Yes,Yes,Yes,Common,15-25
Tentacruel,Cianwood City,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Krabby,Cianwood City,Yes,Yes,Yes,Yes,Yes,Common,15-24
Shuckle,Cianwood City,Yes,Yes,Yes,Yes,Yes,Uncommon,23-28
Zubat,Cliff Cave,Yes,Yes,No,No,Yes,Rare,18
Machoke,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,22
Graveler,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,20
Wooper,Cliff Cave,Yes,Yes,Yes,Yes,No,Rare,18
Quagsire,Cliff Cave,Yes,Yes,Yes,Yes,No,Rare,20
Misdreavus,Cliff Cave,Yes,Yes,No,No,Yes,Rare,20
Steelix,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,23
Golbat,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Machop,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Geodude,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Onix,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20
Krabby,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20
Kingler,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Makuhita,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19-20
Absol,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Chingling,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19-20
Bronzor,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Zubat,Cliff Cave,Yes,Yes,No,No,Yes,Rare,18
Machoke,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,22
Graveler,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,20
Wooper,Cliff Cave,Yes,Yes,Yes,Yes,No,Rare,18
Quagsire,Cliff Cave,Yes,Yes,Yes,Yes,No,Rare,20
Misdreavus,Cliff Cave,Yes,Yes,No,No,Yes,Rare,20
Steelix,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,23
Golbat,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Machop,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Geodude,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Onix,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20
Krabby,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20
Kingler,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Makuhita,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19-20
Absol,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Chingling,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19-20
Bronzor,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Zubat,Cliff Cave,Yes,Yes,No,No,Yes,Rare,18
Machoke,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,22
Graveler,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,20
Wooper,Cliff Cave,Yes,Yes,Yes,Yes,No,Rare,18
Quagsire,Cliff Cave,Yes,Yes,Yes,Yes,No,Rare,20
Misdreavus,Cliff Cave,Yes,Yes,No,No,Yes,Rare,20
Steelix,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Rare,23
Golbat,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Machop,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Geodude,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Onix,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20
Krabby,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20
Kingler,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Makuhita,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19-20
Absol,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Chingling,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,19-20
Bronzor,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Krabby,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Common,20-26
Kingler,Cliff Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,28-31
Wooper,Cliff Edge Gate,Yes,Yes,Yes,Yes,Yes,Common,20-30
Quagsire,Cliff Edge Gate,Yes,Yes,Yes,Yes,Yes,Uncommon,30-40
Magikarp,Cliff Edge Gate,Yes,Yes,Yes,Yes,Yes,Common,40
Poliwag,Cliff Edge Gate,Yes,Yes,Yes,Yes,Yes,Uncommon,40
Magikarp,Cliff Edge Gate,Yes,Yes,Yes,Yes,Yes,Common,20
Poliwag,Cliff Edge Gate,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Cliff Edge Gate,Yes,Yes,Yes,Yes,Yes,Common,10
Zubat,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,23
Geodude,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,23
Golbat,Dark Cave,Yes,Yes,Yes,Yes,Yes,Rare,23
Graveler,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Wobbuffet,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,20-25
Makuhita,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Absol,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Chingling,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,25
Bronzor,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Magikarp,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,2-20
Goldeen,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Dark Cave,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Dark Cave,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Dark Cave,Yes,Yes,Yes,Yes,Yes,Rare,10
Zubat,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,2-4
Geodude,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,2-4
Dunsparce,Dark Cave,Yes,Yes,Yes,Yes,Yes,Rare,4
Makuhita,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,2
Absol,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,2-3
Chingling,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,2
Bronzor,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,2-3
Dunsparce,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,2-4
Magikarp,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,2-20
Goldeen,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Dark Cave,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Dark Cave,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Dark Cave,Yes,Yes,Yes,Yes,Yes,Rare,10
Dunsparce,Dark Cave,Yes,Yes,Yes,Yes,Yes,Common,4-8
Geodude,Dark Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,8-14
Magikarp,Dragons Den,Yes,Yes,Yes,Yes,Yes,Common,5-20
Dratini,Dragons Den,Yes,Yes,Yes,Yes,Yes,Uncommon,5-15
Magikarp,Dragons Den,Yes,Yes,Yes,Yes,Yes,Common,40
Dratini,Dragons Den,Yes,Yes,Yes,Yes,Yes,Common,40
Dragonair,Dragons Den,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Dragons Den,Yes,Yes,Yes,Yes,Yes,Common,20
Dratini,Dragons Den,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Dragons Den,Yes,Yes,Yes,Yes,Yes,Common,10
Dratini,Dragons Den,Yes,Yes,Yes,Yes,Yes,Common,15
Poliwag,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Common,10-25
Poliwhirl,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Poliwag,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Rare,10
Exeggcute,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Ledyba,Ecruteak City,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,Ecruteak City,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,Ecruteak City,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Kyogre,Embedded Tower,Yes,No,Yes,Yes,Yes,Limited,50
Groudon,Embedded Tower,No,Yes,Yes,Yes,Yes,Limited,50
Rayquaza,Embedded Tower,Yes,Yes,Yes,Yes,Yes,Limited,50
Eevee,Goldenrod City,Yes,Yes,Yes,Yes,Yes,Limited,5
Machop,Goldenrod City,Yes,Yes,Yes,Yes,Yes,Limited,—
Ekans,Goldenrod City,Yes,No,Yes,Yes,Yes,Limited,15
Sandshrew,Goldenrod City,No,Yes,Yes,Yes,Yes,Limited,15
Abra,Goldenrod City,Yes,Yes,Yes,Yes,Yes,Limited,15
Dratini,Goldenrod City,Yes,Yes,Yes,Yes,Yes,Limited,15
Zubat,Ice Path,Yes,No,No,No,Yes,Common,22
Golbat,Ice Path,Yes,Yes,Yes,Yes,Yes,Common,22
Swinub,Ice Path,Yes,Yes,Yes,Yes,Yes,Common,21-23
Zubat,Ice Path,No,Yes,Yes,No,Yes,Rare,22
Jynx,Ice Path,Yes,Yes,Yes,No,Yes,Rare,22
Zubat,Ice Path,Yes,No,Yes,Yes,No,Uncommon,22
Jynx,Ice Path,Yes,Yes,No,Yes,No,Uncommon,22
Delibird,Ice Path,No,Yes,Yes,Yes,Yes,Uncommon,22
Makuhita,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Absol,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,21-22
Chingling,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Bronzor,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,21-22
Zubat,Ice Path,Yes,No,No,No,Yes,Common,22
Golbat,Ice Path,Yes,Yes,Yes,Yes,Yes,Common,22
Swinub,Ice Path,Yes,Yes,Yes,Yes,Yes,Common,21-23
Zubat,Ice Path,No,Yes,Yes,No,Yes,Rare,22
Jynx,Ice Path,Yes,Yes,Yes,No,Yes,Rare,22
Zubat,Ice Path,Yes,No,Yes,Yes,No,Uncommon,22
Jynx,Ice Path,Yes,Yes,No,Yes,No,Uncommon,22
Delibird,Ice Path,No,Yes,Yes,Yes,Yes,Uncommon,22
Makuhita,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Absol,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,21-22
Chingling,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Bronzor,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,21-22
Zubat,Ice Path,Yes,No,No,No,Yes,Common,23
Golbat,Ice Path,Yes,Yes,Yes,Yes,Yes,Common,23
Swinub,Ice Path,Yes,Yes,Yes,Yes,Yes,Common,22-24
Zubat,Ice Path,No,Yes,Yes,No,Yes,Rare,23
Jynx,Ice Path,Yes,Yes,Yes,No,Yes,Rare,23
Zubat,Ice Path,Yes,No,Yes,Yes,No,Uncommon,23
Jynx,Ice Path,Yes,Yes,No,Yes,No,Uncommon,23
Delibird,Ice Path,No,Yes,Yes,Yes,Yes,Uncommon,23
Makuhita,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Absol,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Chingling,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Bronzor,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Zubat,Ice Path,Yes,No,No,No,Yes,Common,23
Golbat,Ice Path,Yes,Yes,Yes,Yes,Yes,Common,23
Swinub,Ice Path,Yes,Yes,Yes,Yes,Yes,Common,22-24
Zubat,Ice Path,No,Yes,Yes,No,Yes,Rare,23
Jynx,Ice Path,Yes,Yes,Yes,No,Yes,Rare,23
Zubat,Ice Path,Yes,No,Yes,Yes,No,Uncommon,23
Jynx,Ice Path,Yes,Yes,No,Yes,No,Uncommon,23
Delibird,Ice Path,No,Yes,Yes,Yes,Yes,Uncommon,23
Makuhita,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Absol,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Chingling,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Bronzor,Ice Path,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Caterpie,Ilex Forest,Yes,No,Yes,Yes,No,Common,5-6
Metapod,Ilex Forest,Yes,No,No,Yes,No,Common,5-6
Metapod,Ilex Forest,Yes,No,Yes,No,No,Common,6
Weedle,Ilex Forest,No,Yes,Yes,Yes,No,Common,5-6
Kakuna,Ilex Forest,No,Yes,No,Yes,No,Common,5-6
Kakuna,Ilex Forest,No,Yes,Yes,No,No,Common,6
Zubat,Ilex Forest,Yes,Yes,No,No,Yes,Common,5-6
Oddish,Ilex Forest,Yes,Yes,No,No,Yes,Common,5-6
Zubat,Ilex Forest,Yes,Yes,Yes,Yes,No,Rare,5
Paras,Ilex Forest,Yes,Yes,No,Yes,No,Rare,6
Paras,Ilex Forest,Yes,Yes,Yes,No,Yes,Uncommon,5-6
Numel,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Spoink,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Uncommon,5-6
Budew,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Uncommon,5-6
Carnivine,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Psyduck,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Common,5-20
Golduck,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Rare,10-20
Poliwag,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Rare,10
Pichu,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Limited,30
Caterpie,Ilex Forest,Yes,No,Yes,Yes,Yes,Limited,3-5
Metapod,Ilex Forest,Yes,No,Yes,Yes,Yes,Limited,3-5
Butterfree,Ilex Forest,Yes,No,Yes,Yes,Yes,Limited,6-8
Weedle,Ilex Forest,No,Yes,Yes,Yes,Yes,Limited,3-5
Kakuna,Ilex Forest,No,Yes,Yes,Yes,Yes,Limited,3-5
Beedrill,Ilex Forest,No,Yes,Yes,Yes,Yes,Limited,6-8
Hoothoot,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Noctowl,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Limited,6-8
Pineco,Ilex Forest,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Magikarp,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Common,5-20
Gyarados,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Uncommon,10-20
Magikarp,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Common,40
Gyarados,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Uncommon,40
Magikarp,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Common,20
Gyarados,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Common,10
Gyarados,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Limited,30
Venonat,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Limited,17-19
Exeggcute,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Pineco,Lake Of Rage,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Machop,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,13-15
Geodude,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,13-15
Zubat,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,14
Rattata,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Makuhita,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Absol,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Chingling,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Bronzor,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Zubat,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,13-15
Geodude,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,14
Marill,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,15
Rattata,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,14-16
Machop,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Makuhita,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Absol,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,13-15
Chingling,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Bronzor,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,13-15
Marill,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,13-15
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,10-25
Seaking,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,10
Machoke,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,32
Graveler,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,31
Golbat,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,30
Machop,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,28
Raticate,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,30
Geodude,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,31-32
Makuhita,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,31
Absol,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,31-32
Chingling,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,31
Bronzor,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,31-32
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,15-30
Seaking,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,20-30
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,10
Zubat,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,15-17
Raticate,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,16
Geodude,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,16
Rattata,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Machop,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Makuhita,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Absol,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,13
