,Move,Type,Category,Power,Accuracy,PP,Effect
388,Feint,Normal,Physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.
389,Fire Fang,Fire,Physical,65,95,15,May cause flinching and/or burn opponent.
390,Flare Blitz,Fire,Physical,120,100,15,User receives recoil damage. May burn opponent.
391,Flash Cannon,Steel,Special,80,100,10,May lower opponent's Special Defense.
392,Fling,Dark,Physical,—,100,10,Power depends on held item.
393,Focus Blast,Fighting,Special,120,70,5,May lower opponent's Special Defense.
394,Force Palm,Fighting,Physical,60,100,10,May paralyze opponent.
395,Gastro Acid,Poison,Status,—,100,10,Cancels out the effect of the opponent's Ability.
396,Giga Impact,Normal,Physical,150,90,5,User must recharge next turn.
397,Grass Knot,Grass,Special,—,100,20,"The heavier the opponent, the stronger the attack."
398,Gravity,Psychic,Status,—,—,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.
399,Guard Swap,Psychic,Status,—,—,10,User and opponent swap Defense and Special Defense.
400,Gunk Shot,Poison,Physical,120,80,5,May poison opponent.
401,Gyro Ball,Steel,Physical,—,100,5,"The slower the user, the stronger the attack."
402,Hammer Arm,Fighting,Physical,100,90,10,Lowers user's Speed.
403,Head Smash,Rock,Physical,150,80,5,User receives recoil damage.
404,Heal Block,Psychic,Status,—,100,15,Prevents the opponent from restoring HP for 5 turns.
405,Heal Order,Bug,Status,—,—,10,User recovers half its max HP.
406,Healing Wish,Psychic,Status,—,—,10,The user faints and the next Pokémon released is fully healed.
407,Heart Swap,Psychic,Status,—,—,10,Stat changes are swapped with the opponent.
408,Ice Fang,Ice,Physical,65,95,15,May cause flinching and/or freeze opponent.
409,Ice Shard,Ice,Physical,40,100,30,User attacks first.
410,Iron Head,Steel,Physical,80,100,15,May cause flinching.
411,Judgment,Normal,Special,100,100,10,Type depends on the Arceus Plate being held.
412,Last Resort,Normal,Physical,140,100,5,Can only be used after all other moves are used.
413,Lava Plume,Fire,Special,80,100,15,May burn opponent.
414,Leaf Storm,Grass,Special,130,90,5,Sharply lowers user's Special Attack.
415,Lucky Chant,Normal,Status,—,—,30,Opponent cannot land critical hits for 5 turns.
416,Lunar Dance,Psychic,Status,—,—,10,The user faints but the next Pokémon released is fully healed.
417,Magma Storm,Fire,Special,100,75,5,"Traps opponent, damaging them for 4-5 turns."
418,Magnet Bomb,Steel,Physical,60,∞,20,Ignores Accuracy and Evasiveness.
419,Magnet Rise,Electric,Status,—,—,10,User becomes immune to Ground-type moves for 5 turns.
420,Me First,Normal,Status,—,—,20,User copies the opponent's attack with 1.5× power.
421,Metal Burst,Steel,Physical,—,100,10,Deals damage equal to 1.5x opponent's attack.
422,Miracle Eye,Psychic,Status,—,—,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity."
423,Mirror Shot,Steel,Special,65,85,10,May lower opponent's Accuracy.
424,Mud Bomb,Ground,Special,65,85,10,May lower opponent's Accuracy.
425,Nasty Plot,Dark,Status,—,—,20,Sharply raises user's Special Attack.
426,Natural Gift,Normal,Physical,—,100,15,Power and type depend on the user's held berry.
427,Night Slash,Dark,Physical,70,100,15,High critical hit ratio.
428,Ominous Wind,Ghost,Special,60,100,5,May raise all user's stats at once.
429,Payback,Dark,Physical,50,100,10,Power doubles if the user was attacked first.
430,Pluck,Flying,Physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user."
431,Poison Jab,Poison,Physical,80,100,20,May poison the opponent.
432,Power Gem,Rock,Special,80,100,20,
433,Power Swap,Psychic,Status,—,—,10,User and opponent swap Attack and Special Attack.
434,Power Trick,Psychic,Status,—,—,10,User's own Attack and Defense switch.
435,Power Whip,Grass,Physical,120,85,10,
436,Psycho Cut,Psychic,Physical,70,100,20,High critical hit ratio.
437,Psycho Shift,Psychic,Status,—,100,10,Transfers user's status condition to the opponent.
438,Punishment,Dark,Physical,—,100,5,Power increases when opponent's stats have been raised.
439,Roar of Time,Dragon,Special,150,90,5,User must recharge next turn.
440,Rock Climb,Normal,Physical,90,85,20,May confuse opponent.
441,Rock Polish,Rock,Status,—,—,20,Sharply raises user's Speed.
442,Rock Wrecker,Rock,Physical,150,90,5,User must recharge next turn.
443,Roost,Flying,Status,—,—,5,User recovers half of its max HP and loses the Flying type temporarily.
444,Seed Bomb,Grass,Physical,80,100,15,
445,Seed Flare,Grass,Special,120,85,5,May lower opponent's Special Defense.
446,Shadow Claw,Ghost,Physical,70,100,15,High critical hit ratio.
447,Shadow Force,Ghost,Physical,120,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
448,Shadow Sneak,Ghost,Physical,40,100,30,User attacks first.
449,Spacial Rend,Dragon,Special,100,95,5,High critical hit ratio.
450,Stealth Rock,Rock,Status,—,—,20,Damages opponents switching into battle.
451,Stone Edge,Rock,Physical,100,80,5,High critical hit ratio.
452,Sucker Punch,Dark,Physical,70,100,5,"User attacks first, but only works if opponent is readying an attack."
453,Switcheroo,Dark,Status,—,100,10,Swaps held items with the opponent.
454,Tailwind,Flying,Status,—,—,15,Doubles Speed for 4 turns.
455,Thunder Fang,Electric,Physical,65,95,15,May cause flinching and/or paralyze opponent.
456,Toxic Spikes,Poison,Status,—,—,20,Poisons opponents switching into battle.
457,Trick Room,Psychic,Status,—,—,5,Slower Pokémon move first in the turn for 5 turns.
458,Trump Card,Normal,Special,—,∞,5,"The lower the PP, the higher the power."
459,U-turn,Bug,Physical,70,100,20,User switches out immediately after attacking.
460,Vacuum Wave,Fighting,Special,40,100,30,User attacks first.
461,Wake-Up Slap,Fighting,Physical,70,100,10,"Power doubles if opponent is asleep, but wakes it up."
462,Wood Hammer,Grass,Physical,120,100,15,User receives recoil damage.
463,Worry Seed,Grass,Status,—,100,10,Changes the opponent's Ability to Insomnia.
464,Wring Out,Normal,Special,—,100,5,"The higher the opponent's HP, the higher the damage."
465,X-Scissor,Bug,Physical,80,100,15,
466,Zen Headbutt,Psychic,Physical,80,90,15,May cause flinching.
