Item,Effect,Location
Toxic Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Poison-type moves.,Johto: SS Aqua (From Captain)
TwistedSpoon,An item to be held by a Pokémon. It is a spoon imbued with telekinetic power that boosts Psychic-type moves.,Johto: Route 29 (Tuscany on Tuesday)
Wave Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Water-type moves.,Johto: Route 47
White Herb,An item to be held by a Pokémon. It restores any lowered stat in battle. It can be used only once.,Shop : Johto : Battle Frontier Pokéwalker : Winner's Path (5000+ Steps)
Wide Lens,An item to be held by a Pokémon. It is a magnifying lens that slightly boosts the accuracy of moves.,Shop : Johto : Goldenrod City Kanto : Celadon City
Wise Glasses,An item to be held by a Pokémon. It is a thick pair of glasses that slightly boosts the power of special moves.,Kanto: Pewter City
Yellow Scarf,An item to be held by a Pokémon. It boosts the Tough aspect of the holder in a Contest in Sinnoh.,Transfer from DPt
Zap Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Electric-type moves.,"Johto: Ilex Forest (Held by Spiky-eared Pichu) , SS Aqua (From Captain)"
Zoom Lens,"An item to be held by a Pokémon. If the holder moves after the foe, its accuracy will be boosted.",Shop : Johto : Goldenrod City Kanto : Celadon City
Calcium,A nutritious drink for Pokémon. It raises the base Sp. Atk (Special Attack) stat of a single Pokémon.,"Johto: Union Cave (With Dowsing MCHN) , Whirl Islands , Mt. Silver , Dragon's Den Kanto: Route 12 , Route 13 (With Dowsing MCHN) , Diglett's Cave (With Dowsing MCHN) Shop : Johto : Goldenrod City , Battle Frontier , Safari Zone Gate Kanto : Celadon City Pokéwalker : Treehouse (4500+ Steps)"
Carbos,A nutritious drink for Pokémon. It raises the base Speed stat of a single Pokémon.,"Johto: Radio Tower (Earn 15 Points at Buena's Password) , Mt. Mortar , Tin Tower (With Dowsing MCHN) , Whirl Islands , Ice Path (With Dowsing MCHN) Kanto: Route 2 , Route 10 (With Dowsing MCHN) Shop : Johto : Goldenrod City , Battle Frontier , Safari Zone Gate Kanto : Celadon City"
HP Up,A nutritious drink for Pokémon. It raises the base HP of a single Pokémon.,"Johto: Route 38 (With Dowsing MCHN) , Goldenrod City , Radio Tower (Earn 30 Points at Buena's Password) , Mt. Mortar (With Dowsing MCHN) , Tin Tower , Burnt Tower Kanto: Route 4 , Rock Tunnel (With Dowsing MCHN) , Victory Road Shop : Johto : Goldenrod City , Battle Frontier , Safari Zone Gate Kanto : Celadon City"
Iron,A nutritious drink for Pokémon. It raises the base Defense stat of a single Pokémon.,"Johto: Radio Tower (Earn 10 Points at Buena's Password) , Mt. Mortar , Mt. Silver (With Dowsing MCHN) , Ice Path Kanto: Vermillion City (With Dowsing MCHN) , Cinnabar Island (With Dowsing MCHN) , Rock Tunnel Shop : Johto : Goldenrod City , Battle Frontier , Safari Zone Gate Kanto : Celadon City Pokéwalker : Scary Cave (4900+ Steps)"
PP Max,It maximally raises the top PP of a selected move that has been learned by the target Pokémon.,"Johto: Route 45 (With Dowsing MCHN) , Tin Tower , Whirl Islands , Dragon's Den , Dragon's Den (With Dowsing MCHN) Kanto: Route 19 (With Dowsing MCHN) , Route 26 , Vermillion City , Diglett's Cave"
PP Up,It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon.,"Johto: Route 39 (With Dowsing MCHN) , Violet City , Radio Tower (Goldenrod Lottery Prize - 2 Numbers Match) , Mt. Mortar , Tin Tower , Ice Path , Pokeathlon Dome (With Dowsing MCHN) Kanto: Route 15 , Pewter City (With Dowsing MCHN) , Celadon City (With Dowsing MCHN) , Cerulean Cave , Cerulean Cave (With Dowsing MCHN) , Rock Tunnel Shop : Johto : Pokeathlon Dome Pokéwalker : Rugged Road (7000+ Steps) , Suburban Area (5000+ Steps) , Stormy Beach (5000+ Steps)"
Protein,A nutritious drink for Pokémon. It raises the base Attack stat of a single Pokémon.,"Johto: Olivine City (With Dowsing MCHN) , Radio Tower (Earn 5 Points at Buena's Password) , Mt. Silver , Ice Path , Rocket Hideout , Pokeathlon Dome (With Dowsing MCHN) Kanto: Route 25 , Cerulean Cave (With Dowsing MCHN) Shop : Johto : Goldenrod City , Battle Frontier , Safari Zone Gate Kanto : Celadon City"
Rare Candy,A candy that is packed with energy. It raises the level of a single Pokémon by one.,"Johto: Route 34 , Violet City , Ecruteak City (With Dowsing MCHN) , Olivine City (With Dowsing MCHN) , Radio Tower (Earn 25 Points at Buena's Password) , Mt. Mortar (With Dowsing MCHN) , Mt. Mortar , Tin Tower , Whirl Islands (With Dowsing MCHN) , Whirl Islands (With Dowsing MCHN) , Mt. Silver (With Dowsing MCHN) , Shining Lighthouse Kanto: Route 27 , Route 28 (With Dowsing MCHN) , Vermillion City (Fan Club President) , Cinnabar Island (With Dowsing MCHN) , Indigo Plateau (With Dowsing MCHN) , Cerulean Cave (With Dowsing MCHN) , Victory Road Shop : Johto : Battle Frontier , Pokeathlon Dome Pokéwalker : Sinnoh Field (5000+ Steps) , Sightseeing (5000+ Steps)"
Zinc,A nutritious drink for Pokémon. It raises the base Sp. Def (Special Defense) stat of a single Pokémon.,"Kanto: Cerulean Cave (With Dowsing MCHN) , Seafoam Islands (With Dowsing MCHN) , Victory Road (With Dowsing MCHN) Shop : Johto : Goldenrod City , Battle Frontier , Safari Zone Gate Kanto : Celadon City"
Dawn Stone,A peculiar stone that makes certain species of Pokémon evolve. It sparkles like eyes.,"Johto: National Park (Come 1st in Bug Catching Contest) , Mt. Silver Kanto: Route 17 (PokéGear Phonecall) Shop : Johto : Pokeathlon Dome"
DeepSeaScale,"An item to be held by CLAMPERL. A scale that shines a faint pink, it raises the Sp. Def stat.",Kanto: Route 20 (With Dowsing MCHN)
DeepSeaTooth,"An item to be held by CLAMPERL. A fang that gleams a sharp silver, it raises the Sp. Atk stat.",Kanto: Route 20 (With Dowsing MCHN)
Dragon Scale,A thick and tough scale. Dragon-type Pokémon may be holding this item when caught.,Johto: Mt. Mortar Shop : Johto : Pokeathlon Dome
Dubious Disc,A transparent device overflowing with dubious data. Its producer is unknown.,Johto: Route 42 (Requires Rock Climb)
Dusk Stone,A peculiar stone that makes certain species of Pokémon evolve. It is as dark as dark can be.,"Johto: National Park (Come 1st in Bug Catching Contest) Kanto: Cerulean Cave , Route 17 (PokéGear Phonecall) Shop : Johto : Pokeathlon Dome"
Electirizer,A box packed with a tremendous amount of electric energy. It is loved by a certain Pokémon.,Kanto: Cerulean Cave Pokéwalker : Amity Meadow (2550+ Steps)
Fire Stone,A peculiar stone that makes certain species of Pokémon evolve. It is colored orange.,"Johto: National Park (Come 1st in Bug Catching Contest) , Route 36 (PokéGear Phonecall) Kanto: Route 25 (Show Bill's Grandfather a Growlithe in HG or Vulpix in SS) Shop : Johto : Pokeathlon Dome Pokéwalker : Warm Beach (5000+ Steps)"
King's Rock,An item to be held by a Pokémon. It may cause the foe to flinch when the holder inflicts damage.,Johto: Slowpoke Well Shop : Johto : Pokeathlon Dome
Leaf Stone,A peculiar stone that makes certain species of Pokémon evolve. It has a leaf pattern.,"Johto: National Park (Come 1st in Bug Catching Contest) , Route 34 (PokéGear Phonecall) Kanto: Route 25 (Show Bill's Grandfather an Oddish) , Viridian Forest Shop : Johto : Pokeathlon Dome"
Magmarizer,A box packed with a tremendous amount of magma energy. It is loved by a certain Pokémon.,Kanto: Cinnabar Island Pokéwalker : Amity Meadow (2500+ Steps)
Metal Coat,An item to be held by a Pokémon. It is a special metallic film that ups the power of Steel-type moves.,Johto: SS Aqua Shop : Johto : Pokeathlon Dome
Moon Stone,A peculiar stone that makes certain species of Pokémon evolve. It is as black as the night sky.,"Johto: New Bark Town (Mom's Savings) , Ruins of Alph (Bottom Right Ruins) Kanto: Mt. Moon (Monday Nights Only) , Tohjo Falls Pokéwalker : Volcano Path (5000+ Steps) , Night Skys Edge (5000+ Steps) , Amity Meadow (2000+ Steps)"
Oval Stone,A peculiar stone that makes certain species of Pokémon evolve. It is shaped like an egg.,Johto: National Park (Come 1st in Bug Catching Contest) Kanto: Rock Tunnel Pokéwalker : Amity Meadow (1500+ Steps)
Protector,A protective item of some sort. It is extremely stiff and heavy. It is loved by a certain Pokémon.,Johto: Mt. Mortar
Razor Claw,An item to be held by a Pokémon. It is a sharply hooked claw that ups the holder's critical-hit ratio.,Shop : Johto : Battle Frontier
Razor Fang,An item to be held by a Pokémon. It may cause the foe to flinch when the holder inflicts damage.,Shop : Johto : Battle Frontier
Reaper Cloth,A cloth imbued with horrifyingly strong spiritual energy. It is loved by a certain Pokémon.,Johto: Mt. Silver
Shiny Stone,A peculiar stone that makes certain species of Pokémon evolve. It shines with a dazzling light.,"Johto: National Park , National Park (Come 1st in Bug Catching Contest) Kanto: Route 14 (PokéGear Phonecall) Shop : Johto : Pokeathlon Dome"
Sun Stone,A peculiar stone that makes certain species of Pokémon evolve. It is as red as the sun.,"Johto: National Park (Come 1st in Bug Catching Contest) Kanto: Route 13 (PokéGear Phonecall) Shop : Johto : Pokeathlon Dome Pokéwalker : Volcano Path (5500+ Steps) , Amity Meadow (2050+ Steps)"
Thunderstone,A peculiar stone that makes certain species of Pokémon evolve. It has a thunderbolt pattern.,"Johto: National Park (Come 1st in Bug Catching Contest) , Route 38 (PokéGear Phonecall) Kanto: Route 25 (Show Bill's Grandfather a Pichu) Shop : Johto : Pokeathlon Dome Pokéwalker : Yellow Forest (6000+ Steps)"
Up-Grade,A transparent device filled with all sorts of data. It was produced by Silph Co.,Kanto: Silph Co
Water Stone,"A peculiar stone that makes certain species of Pokémon evolve. It is a clear, light blue.","Johto: National Park (Come 1st in Bug Catching Contest) , Route 42 (PokéGear Phonecall) Kanto: Route 25 (Show Bill's Grandfather a Marill in HG or a Staryu in SS) , Seafoam Islands Shop : Johto : Pokeathlon Dome"
Blk Apricorn,A black Apricorn It has an indescribable scent. Used to make Heavy Balls,"Johto: Route 31 , Route 33 , Route 37 , Route 43 Kanto: Route 1 Shop : Johto : Pokeathlon Dome"
Blu Apricorn,A blue Apricorn. It smells a bit like grass. Used to make Lure Balls,"Johto: Route 36 , Route 37 Kanto: Route 26 Shop : Johto : Pokeathlon Dome"
Grn Apricorn,"A green Apricorn. It has a mysterious, aromatic scent. Used to make Friend Balls","Johto: Route 29 , Route 30 , Route 35 , Route 39 , Route 42 , Route 45 , Route 46 Kanto: Route 11 Shop : Johto : Pokeathlon Dome"
Pnk Apricorn,"A pink Apricorn. It has a nice, sweet scent. Used to make Love Balls","Johto: Route 30 , Route 33 , Route 42 Shop : Johto : Pokeathlon Dome"
Red Apricorn,A red Apricorn. It assails your nostrils. Used to make Level Balls,"Johto: Route 37 , Route 44 Kanto: Fuchsia City Shop : Johto : Pokeathlon Dome"
Wht Apricorn,A white Apricorn. It doesn't smell like anything. Used to make Fast Balls,"Johto: Azalea Town , Route 38 Shop : Johto : Pokeathlon Dome"
Ylw Apricorn,A yellow Apricorn. It has an invigorating scent. Used to make Moon Balls,"Johto: Route 42 , Route 46 , Violet City Kanto: Route 8"
Cherish Ball,A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.,Unobtainable - Only Event Pokémon caught
Dive Ball,A somewhat different Poké Ball that works especially well on Pokémon that live in the sea.,"Pokéwalker: Beautiful Beach (5000+ Steps) , Blue Lake (3500+ Steps)"
Dusk Ball,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.,"Johto: Goldenrod City (Goldenrod Dept. Store Lottery - 2nd Prize - Friday) Shop : Johto : Olivine City , Blackthorn City , Frontier Front , Safari Zone Gate Kanto : Vermillion City , Lavender Town , Saffron City , Fuchsia City Pokéwalker : Scary Cave (4000+ Steps) , Quiet Cave (2000+ Steps)"
Fast Ball,A Poké Ball that makes it easier to catch fast Pokémon.,"Johto: Azalea Town (From Kurt) , Azalea Town (Exchange Apricorns with Kurt)"
Friend Ball,A Poké Ball that makes caught Pokémon more friendly.,Johto: Azalea Town (Exchange Apricorns with Kurt)
Great Ball,"A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.","Johto: Route 32 , Route 32 (With Dowsing MCHN) , Slowpoke Well (With Dowsing MCHN) , Union Cave , Union Cave (With Dowsing MCHN) Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Mahogany Town , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City Pokéwalker : Town Outskirts (750+ Steps)"
Heal Ball,A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.,"Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Ecruteak City Kanto : Viridian City Pokéwalker : Stormy Beach (2000+ Steps)"
Heavy Ball,A Poké Ball for catching very heavy Pokémon.,Johto: Azalea Town (Exchange Apricorns with Kurt)
Level Ball,A Poké Ball for catching Pokémon that are a lower level than your own.,Johto: Azalea Town (Exchange Apricorns with Kurt)
Love Ball,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.,Johto: Azalea Town (Exchange Apricorns with Kurt)
Lure Ball,A Poké Ball for catching Pokémon hooked by a Rod when fishing.,"Johto: Route 32 , Azalea Town (Exchange Apricorns with Kurt)"
Luxury Ball,A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly.,Johto: Goldenrod City (Goldenrod Dept. Store Lottery - 2nd Prize - Sunday) Pokéwalker : Resort (6000+ Steps)
Master Ball,The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail.,"Johto: New Bark Town (Professor Elm - Get all 8 Badges) , Radio Tower (Goldenrod Lottery Prize - All Numbers Match)"
Moon Ball,A Poké Ball for catching Pokémon that evolve using the Moon Stone.,Johto: Azalea Town (Exchange Apricorns with Kurt)
Nest Ball,A somewhat different Poké Ball that works especially well on weaker Pokémon in the wild.,"Johto: Goldenrod City (Goldenrod Dept. Store Lottery - 2nd Prize - Monday) Shop : Johto : Safari Zone Gate Kanto : Pewter City , Vermillion City Pokéwalker : Sinnoh Field (500+ Steps)"
Net Ball,A somewhat different Poké Ball that works especially well on Water- and Bug-type Pokémon.,"Johto: Goldenrod City (Goldenrod Dept. Store Lottery - 2nd Prize - Wednesday) Shop : Johto : Violet City , Azalea Town , Ecruteak City , Olivine City , Blackthorn City , Frontier Front Kanto : Viridian City , Fuchsia City Pokéwalker : Noisy Forest (5000+ Steps) , Blue Lake (4000+ Steps)"
Park Ball,A special Poké Ball for the Pal Park.,Unobtainable - Used only in Pal Park
Poké Ball,A device for catching wild Pokémon. It is thrown like a ball at the target. It is designed as a capsule system.,"Johto: Route 29 (Given by Ethan/Lyra (*5)) , Route 31 , Violet City (With Dowsing MCHN) , Radio Tower (Earn 1 Point at Buena's Password) Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Mahogany Town , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City"
Premier Ball,A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort.,All PokéMarts after buying 10 Balls
Quick Ball,A somewhat different Poké Ball that provides a better catch rate if it is used at the start of a wild encounter.,"Johto: Goldenrod City (Goldenrod Dept. Store Lottery - 2nd Prize - Thursday) Shop : Johto : Safari Zone Gate Kanto : Pewter City , Cerulean City , Vermillion City , Lavender Town , Saffron City Pokéwalker : Stormy Beach (1500+ Steps)"
Repeat Ball,A somewhat different Poké Ball that works especially well on Pokémon species that were previously caught.,Johto: Goldenrod City (Goldenrod Dept. Store Lottery - 2nd Prize - Tuesday) Pokéwalker : Sinnoh Field (3000+ Steps)
Safari Ball,A special Poké Ball that is used only in the Great Marsh. It is decorated in a camouflage pattern.,Unobtainable - Used only in Safari Zone
Sport Ball,A special Poké Ball for the Bug-Catching Contest.,Unobtainable - Used only in National Park
Timer Ball,A somewhat different Ball that becomes progressively better the more turns there are in a battle.,Johto: Goldenrod City (Goldenrod Dept. Store Lottery - 2nd Prize - Saturday) Pokéwalker : Sinnoh Field (2500+ Steps)
Ultra Ball,An ultra-performance Ball that provides a higher Pokémon catch rate than a Great Ball.,"Johto: Route 44 , Goldenrod City (Dept. Store Basement) , Ecruteak City (With Dowsing MCHN) , Union Cave (With Dowsing MCHN) , Radio Tower (Goldenrod Lottery Prize - 1 Number Match) , Radio Tower , Mt. Mortar , Mt. Mortar (With Dowsing MCHN) , Mt. Mortar (With Dowsing MCHN) , Tin Tower , Burnt Tower (With Dowsing MCHN) , Whirl Islands , Whirl Islands (With Dowsing MCHN) , Mt. Silver (With Dowsing MCHN) , Rocket Hideout , Goldenrod Underground , The Cliff Cave (With Dowsing MCHN) Kanto: Route 4 (With Dowsing MCHN) , Cerulean Cave , Cerulean Cave (With Dowsing MCHN) , Cerulean Cave , Cerulean Cave (With Dowsing MCHN) , Seafoam Islands , Victory Road Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City , Indigo Plateau Pokéwalker : Town Outskirts (2000+ Steps)"
Apricorn Box,A handy box where you can store up to 99 Apricorns of each kind.,Johto: Route 30 (In a house)
Basement Key,A key that opens a door in the Goldenrod Tunnel.,Johto: Radio Tower (Defeat Petrel)
Berry Pots,Handy containers for cultivating Berries wherever you go.,Johto: Route 36 (Defeat/Capture Sudowoodo)
Bicycle,A folding Bicycle that enables much faster movement than the Running Shoes.,Johto: Goldenrod City (In Bike Shop)
Blue Card,A card to save points for the Buena's Password show.,Johto: Radio Tower (From Buena)
Blue Orb,A shiny blue orb that is said to have a legend and has a deep connection with the Hoenn region.,Johto: Route 30 (Defeat Red & talk to Mr. Pokémon) - HeartGold
Card Key,A card key that opens a shutter in the Radio Tower.,Johto: Goldenrod Underground
Clear Bell,A very old-fashioned bell that makes a gentle ringing.,Johto: Ecruteak City (Defeat the 5 Kimono Girls) - HeartGold
Coin Case,"A case for holding coins obtained at the Game Corner. It holds up to 50,000 coins.",Johto: Goldenrod Underground
Dowsing MCHN,It checks for unseen items in the area and makes noise and lights when it finds something.,Johto: Ecruteak City
Enigma Stone,A crystal ball that was excavated from the ground. A very beautiful stone that is covered with bits of rock and earth.,Wi-Fi Event
Fashion Case,A fancy case for the tidy arrangement and storage of whimsical Pokémon Accessories.,Johto: Goldenrod Underground (Given by Ethan/Lyra)
GB Sounds,A music player that allows you to listen to nostalgic songs. It's operated with a single switch.,Kanto: Celadon City
Good Rod,"A new, good-quality fishing rod. Use it by any body of water to fish for wild aquatic Pokémon.",Johto: Olivine City (Fishing Guru)
Gracidea,A flower sometimes bundled in bouquets to convey gratitude on special occasions like birthdays.,Johto: Goldenrod City (Bring a Shaymin to Flower Shop)
Jade Orb,A shiny green orb that is said to have a legend and has a deep connection with the Hoenn region.,"Kanto: Pallet Town (Show Professor Oak a Groudon & Kyogre, both obtained from the Embedded Tower)"
Lock Capsule,A sturdy Capsule that can only be opened with a special key.,Unobtainable
Lost Item,The Poké Doll lost by the Copycat.,Kanto: Vermillion City (Fan Club President)
Machine Part,An important machine part for the Power Plant that was stolen.,Kanto: Cerulean City (With Dowsing MCHN)
Mystery Egg,A mysterious Egg obtained from Mr. Pokémon. What's in the Egg is unknown.,Johto: Route 30 (Mr. Pokémon)
Old Rod,An old and beat-up fishing rod. Use it by any body of water to fish for wild aquatic Pokémon.,Johto: Route 32 (Fishing Guru)
Pal Pad,"A convenient notepad that is used for registering your friends, Friend Codes, and keeping a record of game play.",Basement of Pokémon Centre
Pass,A ticket required for riding the Magnet Train. It allows you to ride whenever and however much you'd like.,Kanto: Saffron City (Return Lost Item)
Photo Album,A nice photo album for storing all the photos taken along your adventure.,Speak to Cameron at any Photo Point
Ragecandybar,A famous candy in Mahogany Town. Many tourists like to buy them to take home.,Johto: Mahogany Town
Rainbow Wing,"A mystical, rainbow feather that sparkles.",Johto: Radio Tower (Defeat Archer) - HeartGold Kanto: Pewter City - SoulSilver
Red Orb,A shiny red orb that is said to have a legend and has a deep connection with the Hoenn region.,Johto: Route 30 (Defeat Red & talk to Mr. Pokémon) - SoulSilver
Red Scale,A scale from the red GYARADOS. It glows red like a flame.,Johto: Lake of Rage
S.S. Ticket,The ticket required for sailing on the ferry S.S. Aqua. It has a drawing of a ship on it.,Johto: New Bark Town (Professor Elm - Beat Elite Four)
Seal Case,A case for storing Seals that can be applied to the Capsule cases of Poké Balls.,Johto: Route 39 (Feed 5 Oran Berries to Miltank)
SecretPotion,A fantastic medicine dispensed by the pharmacy in Cianwood City. It fully heals a Pokémon of any ailment.,Johto: Cianwood City
Silver Wing,"A strange, silvery feather that sparkles.",Johto: Radio Tower (Defeat Archer) - SoulSilver Kanto: Pewter City - HeartGold
Slowpoketail,A very tasty tail of something. It sells for a high price.,Unavailable in Game
Squirtbottle,A bottle used for watering plants in the Berry Pots.,Johto: Goldenrod City (After defeating Whitney)
Super Rod,"An awesome, high-tech fishing rod. Use it by any body of water to fish for wild aquatic Pokémon.",Kanto: Route 12 (Fishing Guru)
Tidal Bell,"An old-fashioned bell with a gentle, soothing sound.",Johto: Ecruteak City (Defeat the 5 Kimono Girls) - SoulSilver
Unown Report,A report of all the discovered kinds of UNOWN.,Johto: Ruins of Alph
Vs. Recorder,An amazing device that can record a battle either between friends or at a special battle facility.,Johto: Route 31 (Given by Ethan/Lyra)
